Event,Hit,BarID.0,t0,x0,y0,z0,q0,BarID.1,t1,x1,y1,z1,q1,signal,target
1000842,0,103,5.572e+01,-3.878e-02,-7.421e-02,6.165e+00,3.172e+00,44,7.562e+01,-2.849e-01,4.385e-01,6.669e+00,2.893e+00,0,2
1000852,0,120,6.103e+01,1.223e-01,2.833e-02,6.669e+00,5.338e+00,27,6.237e+01,9.841e-02,3.359e-01,6.061e+00,3.801e+00,0,2
1000895,0,88,5.517e+01,-9.496e-02,2.833e-02,6.061e+00,4.645e+00,258,7.881e+01,2.159e-01,-4.982e-01,8.226e+00,2.558e+01,0,2
1000903,0,266,8.186e+01,3.510e-01,2.196e-01,8.226e+00,1.075e+00,266,8.261e+01,3.858e-01,2.196e-01,8.122e+00,3.269e+00,0,2
1000945,0,261,8.011e+01,-6.462e-02,-1.906e-01,8.835e+00,1.119e+01,263,8.145e+01,-2.248e-02,-8.802e-02,8.939e+00,1.357e+01,0,2
1000948,0,87,5.805e+01,-1.531e-01,-7.421e-02,6.061e+00,9.559e+00,103,5.941e+01,-1.539e-01,-7.421e-02,6.165e+00,1.565e+00,0,2
1000958,0,262,1.028e+02,-2.963e-01,-1.782e-01,1.041e+01,2.009e+01,263,1.049e+02,-3.244e-01,-7.568e-02,1.041e+01,1.769e+00,0,2
1000979,0,264,7.826e+01,4.265e-01,1.452e-02,8.939e+00,1.797e+01,263,7.855e+01,4.292e-01,-8.802e-02,8.939e+00,3.298e+00,0,2
1000988,0,104,6.507e+01,1.189e-01,2.833e-02,6.165e+00,1.823e+00,121,6.731e+01,6.249e-02,1.309e-01,6.669e+00,1.290e+01,0,2
1000996,0,264,7.424e+01,-2.907e-01,1.452e-02,8.122e+00,2.139e+00,264,7.465e+01,-2.806e-01,1.452e-02,8.226e+00,3.426e+01,0,2
1001003,0,268,7.994e+01,-4.346e-01,4.247e-01,8.122e+00,4.247e+00,269,8.002e+01,-5.174e-01,5.272e-01,8.122e+00,6.658e+00,0,2
1001022,0,104,6.245e+01,-1.466e-01,2.833e-02,6.165e+00,1.043e+01,45,7.432e+01,-6.318e-01,5.410e-01,6.669e+00,8.253e+00,0,2
1001048,0,71,5.627e+01,-5.754e-02,-7.421e-02,5.957e+00,1.258e+00,43,7.004e+01,-3.581e-01,3.359e-01,6.669e+00,9.789e+00,0,2
1001052,0,122,6.016e+01,1.714e-02,2.334e-01,6.669e+00,5.044e+00,43,6.026e+01,1.580e-02,3.360e-01,6.669e+00,1.963e+01,0,2
1001054,0,118,5.854e+01,-3.842e-02,-1.768e-01,6.669e+00,2.820e+01,264,9.174e+01,-4.700e-01,1.452e-02,8.226e+00,1.134e+00,0,2
1001069,0,88,5.859e+01,7.267e-02,2.833e-02,6.061e+00,2.155e+01,106,6.496e+01,1.653e-01,2.334e-01,6.165e+00,1.106e+00,0,2
1001107,0,265,8.185e+01,-8.357e-01,1.171e-01,8.226e+00,1.915e+01,265,1.013e+02,-9.737e-01,1.171e-01,8.939e+00,2.780e+00,0,2
1001121,0,259,1.108e+02,-1.859e-01,-4.858e-01,1.153e+01,2.685e+00,262,1.113e+02,-1.650e-01,-1.782e-01,1.153e+01,2.685e+01,0,2
1001125,0,72,5.290e+01,-1.161e-01,2.833e-02,5.957e+00,6.973e+00,89,5.421e+01,-1.094e-01,1.309e-01,6.061e+00,2.277e+00,0,2
1001131,0,135,5.894e+01,9.099e-02,-7.421e-02,6.773e+00,3.546e+00,263,7.260e+01,-1.812e-01,-8.802e-02,8.226e+00,4.614e+01,0,2
1001139,0,261,7.275e+01,3.219e-02,-1.906e-01,8.122e+00,2.581e+01,260,8.345e+01,-3.320e-01,-2.931e-01,8.122e+00,1.534e+00,0,2
1001140,0,261,7.427e+01,-1.417e-01,-1.906e-01,8.122e+00,2.419e+01,261,7.676e+01,-1.066e-01,-1.906e-01,8.226e+00,1.010e+00,0,2
1001163,0,104,5.656e+01,-5.871e-02,2.833e-02,6.165e+00,6.106e+00,103,5.706e+01,-5.468e-02,-7.421e-02,6.165e+00,2.311e+01,0,2
1001177,0,74,5.120e+01,3.410e-01,2.334e-01,5.957e+00,1.050e+01,120,5.827e+01,5.808e-01,2.833e-02,6.669e+00,3.086e+01,0,2
1001179,0,135,6.099e+01,8.294e-02,-7.421e-02,6.773e+00,1.232e+01,136,6.155e+01,8.013e-02,2.833e-02,6.773e+00,1.704e+01,0,2
1001183,0,59,6.258e+01,-1.239e-01,3.359e-01,6.773e+00,3.997e+00,103,7.223e+01,-2.552e-01,-7.421e-02,6.165e+00,1.849e+00,0,2
